Tarih,Fonksiyon,Sure(sn),Karbon(gCO2),Bolge
2026-03-15 00:45:19,hızlı_test,1.0464,0.00070002,TR
2026-03-15 13:31:05,versiyon_1,0.0498,0.00001986,TR
2026-03-15 13:31:05,versiyon_2,0.0390,0.00001674,TR
2026-03-15 13:35:17,versiyon_1,0.0471,0.00002280,TR
2026-03-15 13:35:17,versiyon_2,0.0314,0.00001227,TR
2026-03-15 18:22:44,versiyon_1,0.0502,0.00003488,TR
2026-03-15 18:22:45,versiyon_2,0.0341,0.00001783,TR
2026-03-15 18:22:49,versiyon_1,0.0482,0.00001055,TR
2026-03-15 18:22:49,versiyon_2,0.0320,0.00000646,TR
2026-03-15 18:25:53,versiyon_1,0.0474,0.00004063,TR
2026-03-15 18:25:53,versiyon_2,0.0323,0.00001732,TR
2026-03-15 18:26:02,versiyon_1,0.0443,0.00001577,TR
2026-03-15 18:26:02,versiyon_2,0.0312,0.00001136,TR
2026-03-15 18:28:25,versiyon_1,0.0477,0.00001247,TR
2026-03-15 18:28:25,versiyon_2,0.0339,0.00000639,TR
2026-03-15 18:33:18,versiyon_1,0.0454,0.00001654,TR
2026-03-15 18:33:18,versiyon_2,0.0376,0.00001562,TR
2026-03-15 18:37:42,versiyon_1,0.0435,0.00001398,TR
2026-03-15 18:37:42,versiyon_2,0.0303,0.00001299,TR
2026-03-15 18:40:43,versiyon_1,0.0475,0.00002362,TR
2026-03-15 18:40:43,versiyon_2,0.0353,0.00001409,TR
2026-03-15 18:43:26,versiyon_1,0.0467,0.00003202,TR
2026-03-15 18:43:26,versiyon_2,0.0333,0.00000171,TR
2026-03-15 18:48:39,versiyon_1,0.0505,0.00014993,TR
2026-03-15 18:48:40,versiyon_2,0.0352,0.00001096,TR
2026-03-15 19:42:04,versiyon_1,0.0506,0.00000917,TR
2026-03-15 19:42:04,versiyon_2,0.0362,0.00000516,TR
2026-03-15 19:42:52,versiyon_1,0.0460,0.00001119,TR
2026-03-15 19:42:52,versiyon_2,0.0358,0.00000488,TR
2026-03-15 19:46:46,versiyon_1,0.0455,0.00002000,TR
2026-03-15 19:46:47,versiyon_2,0.0511,0.00003215,TR
2026-03-15 19:48:27,versiyon_1,0.0506,0.00001022,TR
2026-03-15 19:48:27,versiyon_2,0.0316,0.00000478,TR
2026-03-15 19:48:28,async_test,1.0002,0.00030289,TR
2026-03-15 19:48:36,versiyon_1,0.0500,0.00003074,TR
2026-03-15 19:48:36,versiyon_2,0.0361,0.00000729,TR
2026-03-15 19:52:40,versiyon_1,0.0497,0.00001637,TR
2026-03-15 19:52:40,versiyon_2,0.0348,0.00000537,TR
2026-03-15 19:54:49,versiyon_1,0.0461,0.00001587,TR
2026-03-15 19:54:49,versiyon_2,0.0311,0.00005535,TR
2026-03-15 19:56:37,versiyon_1,0.0443,0.00000579,TR
2026-03-15 19:56:37,versiyon_2,0.0307,0.00000829,TR
2026-03-15 19:58:13,versiyon_1,0.0459,0.00001416,TR
2026-03-15 19:58:13,versiyon_2,0.0342,0.00000660,TR
2026-03-15 19:58:14,async_test,0.9994,0.00031450,TR
2026-03-16 13:48:39,versiyon_1,0.0459,0.00000968,TR
2026-03-16 13:48:39,versiyon_2,0.0318,0.00000575,TR
2026-03-16 13:48:40,async_test,1.0021,0.00037486,TR
2026-03-16 13:48:40,gpu_test,0.0456,0.00009026,TR
2026-03-16 14:08:58,versiyon_1,0.0594,0.00004040,TR
2026-03-16 14:08:58,versiyon_2,0.0341,0.00000719,TR
2026-03-16 14:09:00,async_test,1.0012,0.00023779,TR
2026-03-16 14:09:00,gpu_test,0.0460,0.00009109,TR
2026-03-16 14:13:54,versiyon_1,0.0493,0.00002868,TR
2026-03-16 14:13:54,versiyon_2,0.0340,0.00001121,TR
2026-03-16 14:13:55,async_test,1.0007,0.00014260,TR
2026-03-16 14:13:55,gpu_test,0.0463,0.00009157,TR
2026-03-16 14:22:31,versiyon_1,0.0543,0.00002725,TR
2026-03-16 14:22:31,versiyon_2,0.0356,0.00000919,TR
2026-03-16 14:22:32,async_test,1.0004,0.00004752,TR
2026-03-16 14:22:32,gpu_test,0.0465,0.00009205,TR
